name,university,cutOffMark,popularity,type,location,description,duration
Grado en Análisis de Datos y de Negocios,Universidad Francisco de Vitoria (UFV),0,80,Carrera Universitaria,Madrid,"Grado que prepara a los estudiantes para analizar y ordenar datos, permitiendo prever el futuro y mejorar todas las áreas de negocio de las empresas.",4 años
Grado en Datos y Analítica de Negocio,Universidad Loyola,0,85,Carrera Universitaria,Sevilla,"Programa que forma a profesionales capaces de buscar soluciones a problemas complejos, estructurar y analizar datos e identificar oportunidades de mercado. ",4 años
Grado en Datos y Analítica de Negocio,IE University,0,90,Carrera Universitaria,Segovia,"Grado que cumple con el Proceso de Bolonia y está acreditado por el gobierno español y el Espacio Europeo de Educación Superior (EEES).",4 años
Grado en Análisis de Negocios (Business Analytics),Universidad Nebrija,0,80,Carrera Universitaria,Madrid,"Programa que cubre todos los aspectos tecnológicos, analíticos y de negocio para fijar estrategias adaptadas al mercado.",4 años
Grado en Business Analytics,Universidad Alfonso X el Sabio (UAX),0,85,Carrera Universitaria,Madrid,"Grado diseñado con las Big 4, que prepara a los estudiantes para dominar la analítica de negocio y tomar decisiones estratégicas basadas en datos.",4 años
Grado en Análisis de Negocios / Business Analytics,Universidad Pontificia Comillas (Comillas ICADE),0,90,Carrera Universitaria,Madrid,"Programa orientado a formar profesionales capacitados para la toma de decisiones basadas en la analítica de datos, proporcionando una comprensión profunda de la gestión de negocios en la era digital.",4 años
Grado en Business Analytics,Universidad Autónoma de Madrid (UAM),0,85,Carrera Universitaria,Madrid,"Grado bilingüe (español/inglés) que proporciona competencias para el análisis de la información en diversas áreas de instituciones privadas o públicas, incluyendo finanzas, marketing y auditoría.",4 años
Grado en Business Analytics,Universidad Europea,0,80,Carrera Universitaria,Madrid,"Formación en el uso de herramientas clave para el análisis de datos, incluyendo SQL, Python y R, así como plataformas de visualización como Tableau y Power BI.",4 años
Grado en Business Analytics,Universidad Alfonso X el Sabio (UAX),0,85,Carrera Universitaria,Madrid,"Diseñado en colaboración con las Big 4, este grado prepara a los estudiantes para dominar la analítica de negocio y tomar decisiones estratégicas basadas en datos.",4 años
Grado en Análisis de Datos y de Negocios,Universidad Francisco de Vitoria (UFV),0,80,Carrera Universitaria,Madrid,"Programa que prepara a los estudiantes para analizar y ordenar datos, permitiendo prever el futuro y mejorar todas las áreas de negocio de las empresas.",4 años
Grado en Análisis Económico,Universidad Pablo de Olavide,0,80,Carrera Universitaria,Sevilla,"Programa que combina formación en herramientas de análisis y paquetes informáticos para el tratamiento de datos, con una enseñanza personalizada que permite conocer la realidad económica.",4 años
Grado en Economía con Mención en Análisis Económico,Universidad Complutense de Madrid,0,85,Carrera Universitaria,Madrid,"Ofrece una formación integral en economía con una especialización en análisis económico, permitiendo a los estudiantes profundizar en áreas como economía mundial, economía aplicada y economía pública.",4 años
Grado en Economía con Mención en Análisis Económico Cuantitativo,Universidad de Sevilla,0,80,Carrera Universitaria,Sevilla,"Programa que proporciona una sólida formación en economía con una especialización en análisis económico cuantitativo, preparando a los estudiantes para abordar problemas económicos complejos.",4 años
Grado en Economía,Universidad Autónoma de Madrid,0,85,Carrera Universitaria,Madrid,"Formación orientada a la gestión económica empresarial y de las administraciones públicas, con la posibilidad de cursar una mención en Análisis Económico, Desarrollo Económico, Economía del Sector Público, Economía Política e Institucional, Métodos Cuantitativos, Investigaciones Sociológicas o Prácticas y Habilidades Profesionales.",4 años
Grado en Economía,Universidad de Salamanca,0,80,Carrera Universitaria,Salamanca,"Programa que ofrece una formación completa en economía, estructurada en módulos que incluyen Análisis Económico, Métodos Cuantitativos, Entorno Económico y Marco Institucional, Entorno Empresarial, Trabajo Fin de Grado y Prácticas Externas.",4 años
Grado en Business Analytics,Universidad Alfonso X el Sabio (UAX),0,85,Carrera Universitaria,Madrid,"Programa que te especializa en inteligencia y analítica de negocios a través de metodologías Agile, con formación en software avanzado para la gestión de business analytics y proyectos interdisciplinares con empresas como Avanade, Ecoalf, Quirónsalud o Caixabank.",4 años
Grado en Business Analytics,Universidad Europea,0,80,Carrera Universitaria,Madrid,"Formación en el uso de herramientas clave para el análisis de datos, incluyendo SQL, Python y R, así como plataformas de visualización como Tableau y Power BI, preparando a los estudiantes para afrontar desafíos reales en el ámbito empresarial mediante el uso de análisis avanzados.",4 años
Grado en Análisis de Negocios (Business Analytics),Universidad Nebrija,0,80,Carrera Universitaria,Madrid,"Programa que cubre todos los aspectos tecnológicos, analíticos y de negocio para fijar estrategias adaptadas al mercado, con formación en aspectos tecnológicos, analíticos y de negocio para fijar estrategias adaptadas al mercado.",4 años
Grado en Analítica de Negocios / Business Analytics,UNIE-Universidad Internacional de la Empresa,0,75,Carrera Universitaria,Madrid,"Título oficial impartido en colaboración con EAE Business School, que proporciona una formación integral en analítica de negocios, con enfoque en la aplicación práctica de herramientas y técnicas analíticas en el entorno empresarial.",4 años
Grado en Datos y Analítica de Negocios,IE University,0,90,Carrera Universitaria,Segovia,"Programa que cumple totalmente con el Proceso de Bolonia y está acreditado por el gobierno español y el Espacio Europeo de Educación Superior (EEES), ofreciendo una formación sólida en análisis de datos y su aplicación en el ámbito empresarial.",4 años
Grado en Animación,Universidad Europea,0,85,Carrera Universitaria,Madrid,"Programa que forma a los estudiantes en diseño, arte digital y entornos interactivos, con un enfoque en el aprendizaje experiencial y trabajo en proyectos reales.",4 años
Grado en Animación,Universidad U-tad,0,90,Carrera Universitaria,Madrid,"Ofrece especializaciones en Animación 2D o Técnicas Avanzadas 3D, impartido por profesionales internacionales y con enfoque práctico.",4 años
Grado en Animación,Universidad de La Salle,0,80,Carrera Universitaria,Barcelona,"Primer grado universitario oficial de Animación en Cataluña, que proporciona una formación sólida en el campo de la animación y los efectos visuales.",4 años
Grado en Animación,Universidad ESDIP,0,75,Carrera Universitaria,Madrid,"Escuela de arte y animación que ofrece formación en animación 2D y 3D, con enfoque en técnicas tradicionales y digitales.",4 años
Grado en Animación,Universidad UDIT,0,80,Carrera Universitaria,Madrid,"Ofrece formación práctica en diseño y animación 2D y 3D, con proyectos reales y enfoque en la industria.",4 años
Grado en Animación y VFX,La Salle Campus Barcelona,0,90,Carrera Universitaria,Barcelona,"Programa que proporciona una sólida formación artística y creativa en animación y efectos visuales, con enfoque en las últimas tecnologías en animación 3D.",4 años
Grado en Animación y VFX,Universidad U-tad,0,85,Carrera Universitaria,Madrid,"Ofrece especializaciones en Animación 2D, Técnicas Avanzadas 3D y Arte para Videojuegos, impartido por profesionales internacionales con enfoque práctico.",4 años
Grado en Animación y VFX,Universidad de La Salle,0,80,Carrera Universitaria,Barcelona,"Primer grado universitario oficial de Animación en Cataluña, que proporciona formación en animación y efectos visuales con enfoque en el arte 3D.",4 años
Grado en Animación y VFX,Universidad ESDIP,0,75,Carrera Universitaria,Madrid,"Escuela de arte y animación que ofrece formación en animación 2D y 3D, con enfoque en técnicas tradicionales y digitales.",4 años
Grado en Animación y VFX,Universidad UDIT,0,80,Carrera Universitaria,Madrid,"Ofrece formación práctica en diseño y animación 2D y 3D, con proyectos reales y enfoque en la industria.",4 años
Grado en Animación,Universidad Europea,0,85,Carrera Universitaria,Madrid,"Programa que forma a los estudiantes en diseño, arte digital y entornos interactivos, con enfoque en el aprendizaje experiencial y trabajo en proyectos reales.",4 años
Grado en Animación,Universidad U-tad,0,90,Carrera Universitaria,Madrid,"Ofrece especializaciones en Animación 2D o Técnicas Avanzadas 3D, impartido por profesionales internacionales y con enfoque práctico.",4 años
Grado en Animación,Universidad de La Salle,0,80,Carrera Universitaria,Barcelona,"Primer grado universitario oficial de Animación en Cataluña, que proporciona una formación sólida en el campo de la animación y los efectos visuales.",4 años
Grado en Animación,Universidad ESDIP,0,75,Carrera Universitaria,Madrid,"Escuela de arte y animación que ofrece formación en animación 2D y 3D, con enfoque en técnicas tradicionales y digitales.",4 años
Grado en Animación,Universidad UDIT,0,80,Carrera Universitaria,Madrid,"Ofrece formación práctica en diseño y animación 2D y 3D, con proyectos reales y enfoque en la industria.",4 años
Grado en Antropología Social y Cultural,Universidad de La Laguna,5.000,80,Carrera Universitaria,Santa Cruz de Tenerife,"Programa que ofrece una formación completa en antropología, con enfoque en la diversidad cultural y social.",4 años
Grado en Antropología Social y Cultural,Universidad de Barcelona,5.000,85,Carrera Universitaria,Barcelona,"Ofrece una sólida formación en antropología, con énfasis en la investigación y el análisis de las sociedades contemporáneas.",4 años
Grado en Antropología Social y Cultural,Universidad Autónoma de Madrid,5.000,80,Carrera Universitaria,Madrid,"Programa que combina teoría y práctica en el estudio de las culturas y sociedades humanas.",4 años
Grado en Antropología Social y Cultural,Universidad de Granada,5.000,75,Carrera Universitaria,Granada,"Ofrece una formación integral en antropología, con enfoque en la diversidad cultural y social.",4 años
Grado en Antropología Social y Cultural,Universidad de Valencia,5.000,80,Carrera Universitaria,Valencia,"Programa que proporciona una formación completa en antropología, con énfasis en la investigación y el análisis de las sociedades contemporáneas.",4 años
Grado en Antropología Social y Cultural,Universidad Complutense de Madrid,5.000,90,Carrera Universitaria,Madrid,"Programa que ofrece una formación completa en antropología, con enfoque en la diversidad cultural y social.",4 años
Grado en Antropología Social y Cultural,Universidad de Barcelona,5.000,85,Carrera Universitaria,Barcelona,"Ofrece una sólida formación en antropología, con énfasis en la investigación y el análisis de las sociedades contemporáneas.",4 años
Grado en Antropología Social y Cultural,Universidad Autónoma de Madrid,5.000,80,Carrera Universitaria,Madrid,"Programa que combina teoría y práctica en el estudio de las culturas y sociedades humanas.",4 años
Grado en Antropología Social y Cultural,Universidad de Granada,5.000,75,Carrera Universitaria,Granada,"Ofrece una formación integral en antropología, con enfoque en la diversidad cultural y social.",4 años
Grado en Antropología Social y Cultural,Universidad de Valencia,5.000,80,Carrera Universitaria,Valencia,"Programa que proporciona una formación completa en antropología, con énfasis en la investigación y el análisis de las sociedades contemporáneas.",4 años
Grado en Antropología Social y Cultural,Universidad Complutense de Madrid,5.000,90,Carrera Universitaria,Madrid,"Programa que ofrece una formación completa en antropología, con enfoque en la diversidad cultural y social.",4 años
Grado en Antropología Social y Cultural,Universidad de Barcelona,5.000,85,Carrera Universitaria,Barcelona,"Ofrece una sólida formación en antropología, con énfasis en la investigación y el análisis de las sociedades contemporáneas.",4 años
Grado en Antropología Social y Cultural,Universidad Autónoma de Madrid,5.000,80,Carrera Universitaria,Madrid,"Programa que combina teoría y práctica en el estudio de las culturas y sociedades humanas.",4 años
Grado en Antropología Social y Cultural,Universidad de Granada,5.000,75,Carrera Universitaria,Granada,"Ofrece una formación integral en antropología, con enfoque en la diversidad cultural y social.",4 años
Grado en Antropología Social y Cultural,Universidad de Valencia,5.000,80,Carrera Universitaria,Valencia,"Programa que proporciona una formación completa en antropología, con énfasis en la investigación y el análisis de las sociedades contemporáneas.",4 años
Grado en Antropología y Evolución Humana,Universitat Rovira i Virgili (URV),5.000,80,Carrera Universitaria,Tarragona,"Programa que combina la antropología social y cultural con la evolución humana, ofreciendo una formación integral en el estudio del ser humano.",4 años
Grado en Antropología y Evolución Humana,Universitat Oberta de Catalunya (UOC),5.000,85,Carrera Universitaria,Online,"Ofrece una formación en antropología y evolución humana con modalidad online, permitiendo a los estudiantes estudiar a su propio ritmo.",4 años
Grado en Arqueología,Universidad Complutense de Madrid,5.600,85,Carrera Universitaria,Madrid,"Programa que ofrece una formación completa en arqueología, con énfasis en la investigación y el análisis de restos materiales.",4 años
Grado en Arqueología,Universidad Autónoma de Madrid,5.061,80,Carrera Universitaria,Madrid,"Ofrece una sólida formación en arqueología, combinando teoría y práctica en el estudio de las civilizaciones pasadas.",4 años
Grado en Arqueología,Universitat de Barcelona,5.000,90,Carrera Universitaria,Barcelona,"Programa que proporciona una formación integral en arqueología, con enfoque en la investigación y el análisis de restos materiales.",4 años
Grado en Arqueología,Universitat Rovira i Virgili,6.726,80,Carrera Universitaria,Tarragona,"Ofrece una formación completa en arqueología, combinando teoría y práctica en el estudio de las civilizaciones pasadas.",4 años
Grado en Arqueología,Universidad de Jaén,5.000,75,Carrera Universitaria,Jaén,"Programa que proporciona una formación integral en arqueología, con énfasis en la investigación y el análisis de restos materiales.",4 años
Grado en Fundamentos de la Arquitectura,Universidad Rey Juan Carlos,11.502,90,Carrera Universitaria,Madrid,"Programa que ofrece una formación completa en arquitectura, combinando teoría y práctica en el diseño y construcción de edificaciones.",4 años
Grado en Fundamentos de la Arquitectura,Universidad Politécnica de Madrid,11.000,85,Carrera Universitaria,Madrid,"Ofrece una sólida formación en arquitectura, con énfasis en la innovación y sostenibilidad en el diseño arquitectónico.",4 años
Grado en Fundamentos de la Arquitectura,Universidad Politécnica de Valencia,10.500,80,Carrera Universitaria,Valencia,"Programa que proporciona una formación integral en arquitectura, combinando aspectos técnicos y creativos en el diseño de espacios.",4 años
Grado en Fundamentos de la Arquitectura,Universidad de Sevilla,9.530,75,Carrera Universitaria,Sevilla,"Ofrece una formación completa en arquitectura, con enfoque en la investigación y desarrollo de nuevos materiales y técnicas constructivas.",4 años
Grado en Fundamentos de la Arquitectura,Universidad de Granada,9.000,70,Carrera Universitaria,Granada,"Programa que combina teoría y práctica en el estudio de la arquitectura, con énfasis en la sostenibilidad y eficiencia energética.",4 años
Grado en Arquitectura Naval y Oceánica,Universidad Politécnica de Madrid,11.781,90,Carrera Universitaria,Madrid,"Programa que ofrece una formación completa en arquitectura naval, combinando teoría y práctica en el diseño y construcción de embarcaciones y estructuras marítimas.",4 años
Grado en Ingeniería Naval y Oceánica,Universidad Politécnica de Valencia,11.500,85,Carrera Universitaria,Valencia,"Ofrece una sólida formación en ingeniería naval, con énfasis en la innovación y sostenibilidad en el diseño de embarcaciones y estructuras marítimas.",4 años
Grado en Ingeniería Naval y Oceánica,Universidad de Cádiz,10.800,80,Carrera Universitaria,Cádiz,"Programa que proporciona una formación integral en ingeniería naval, combinando aspectos técnicos y creativos en el diseño de embarcaciones y estructuras marítimas.",4 años
Grado en Ingeniería Naval y Oceánica,Universidad de La Coruña,10.200,75,Carrera Universitaria,La Coruña,"Ofrece una formación completa en ingeniería naval, con enfoque en la investigación y desarrollo de nuevos materiales y técnicas constructivas para el sector marítimo.",4 años
Grado en Ingeniería Naval y Oceánica,Universidad de Las Palmas de Gran Canaria,9.800,70,Carrera Universitaria,Las Palmas de Gran Canaria,"Programa que combina teoría y práctica en el estudio de la ingeniería naval, con énfasis en la sostenibilidad y eficiencia energética en el diseño de embarcaciones y estructuras marítimas.",4 años
Grado en Arquitectura Naval e Ingeniería de Sistemas Marinos,Universidad Politécnica de Cartagena,10.468,80,Carrera Universitaria,Cartagena,"Programa que combina el diseño y la construcción de embarcaciones y estructuras marítimas con el estudio de los sistemas que las integran, en modalidad presencial.",4 años
Grado en Arquitectura Técnica,Universitat Politècnica de Catalunya,7.980,85,Carrera Universitaria,Barcelona,"Programa que ofrece una formación completa en arquitectura técnica, combinando teoría y práctica en el diseño y construcción de edificaciones.",4 años
Grado en Arquitectura Técnica,Universitat Jaume I de Castellón,7.870,80,Carrera Universitaria,Castellón,"Ofrece una sólida formación en arquitectura técnica, con énfasis en la innovación y sostenibilidad en el diseño de edificaciones.",4 años
Grado en Arquitectura Técnica,Universitat de Lleida,7.666,75,Carrera Universitaria,Lleida,"Programa que proporciona una formación integral en arquitectura técnica, combinando aspectos técnicos y creativos en el diseño de espacios.",4 años
Grado en Arquitectura Técnica,Universidad del País Vasco/Euskal Herriko Unibertsitatea,6.534,70,Carrera Universitaria,Gipuzkoa,"Ofrece una formación completa en arquitectura técnica, con enfoque en la investigación y desarrollo de nuevos materiales y técnicas constructivas.",4 años
Grado en Arquitectura Técnica,Universidad de La Laguna,5.151,65,Carrera Universitaria,Tenerife,"Programa que combina teoría y práctica en el estudio de la arquitectura técnica, con énfasis en la sostenibilidad y eficiencia energética en el diseño de edificaciones.",4 años
Grado en Arquitectura Técnica y Edificación,Universitat Politècnica de Catalunya,8.022,85,Carrera Universitaria,Barcelona,"Programa que ofrece una formación completa en arquitectura técnica y edificación, combinando teoría y práctica en el diseño y construcción de edificaciones.",4 años
Grado en Arquitectura Técnica y Edificación,Universitat de Girona,8.082,80,Carrera Universitaria,Girona,"Ofrece una sólida formación en arquitectura técnica y edificación, con énfasis en la innovación y sostenibilidad en el diseño de edificaciones.",4 años
Grado en Arquitectura Técnica y Edificación,Universidad de Alcalá,10.536,75,Carrera Universitaria,Alcalá de Henares,"Programa que proporciona una formación integral en arquitectura técnica y edificación, combinando aspectos técnicos y creativos en el diseño de espacios.",4 años
Grado en Arquitectura Técnica y Edificación,Universidad de Salamanca,5.000,70,Carrera Universitaria,Zamora,"Ofrece una formación completa en arquitectura técnica y edificación, con enfoque en la investigación y desarrollo de nuevos materiales y técnicas constructivas.",4 años
Grado en Arquitectura Técnica y Edificación,Universidad de Alicante,7.718,65,Carrera Universitaria,Alicante,"Programa que combina teoría y práctica en el estudio de la arquitectura técnica y edificación, con énfasis en la sostenibilidad y eficiencia energética en el diseño de edificaciones.",4 años
