name,university,cutOffMark,popularity,type,location,description,duration
Máster Universitario en Biotecnología,Universidad Autónoma de Madrid (UAM),0,80,Master,Madrid,Programa que combina conocimientos en biología y tecnología para el desarrollo de aplicaciones biotecnológicas.,1 año
Máster Universitario en Ciencias Agroambientales y Agroalimentarias,Universidad Autónoma de Madrid (UAM),0,75,Master,Madrid,Enfoque en la gestión sostenible de recursos naturales y la producción agroalimentaria.,1 año
Grado en Ciencias Agrarias y Bioeconomía,Universidad Politécnica de Madrid (UPM),7.500,80,Carrera Universitaria,Madrid,Formación multidisciplinaria en ciencias agrarias y bioeconomía enfocada en la producción sostenible de alimentos y gestión de recursos biológicos.,4 años
name,university,cutOffMark,popularity,type,location,description,duration
Máster Universitario en Bioeconomía Circular y Sostenibilidad,Universidad de Córdoba (UCO),8.000,85,Master,Córdoba,Programa orientado a cubrir la necesidad de especialistas en bioeconomía y economía circular con enfoque en procesos agroindustriales y sostenibilidad ambiental.,1 año
Grado en Ciencias Ambientales,Universidad Autónoma de Madrid (UAM),7.500,80,Carrera Universitaria,Madrid,Formación integral en ciencias ambientales abordando aspectos científicos técnicos y jurídicos del medio ambiente.,4 años
Grado en Ciencias Ambientales,Universidad de Alcalá (UAH),7.200,75,Carrera Universitaria,Alcalá de Henares,Programa multidisciplinario que prepara a los estudiantes para gestionar y proteger el medio ambiente.,4 años
Grado en Ciencias Ambientales,Universidad Rey Juan Carlos (URJC),7.800,85,Carrera Universitaria,Madrid,Enfoque en la sostenibilidad y la gestión ambiental con énfasis en la investigación y la aplicación práctica.,4 años
Grado en Ciencias Ambientales,Universidad de Murcia (UMU),7.600,80,Carrera Universitaria,Murcia,Formación en ciencias ambientales con una perspectiva global y sostenible.,4 años
Grado en Ciencias Ambientales,Universidad de Málaga (UMA),7.500,80,Carrera Universitaria,Málaga,Programa que combina conocimientos científicos y técnicos para la gestión ambiental.,4 años
Máster en Gestión Ambiental,Universidad Politécnica de Valencia (UPV),8.000,85,Master,Valencia,Programa orientado a la formación de profesionales en la gestión y auditoría ambiental.,1 año
Máster en Ciencias Ambientales,Universidad de Barcelona (UB),8.500,90,Master,Barcelona,Enfoque multidisciplinario en ciencias ambientales con énfasis en la investigación y la sostenibilidad.,1 año
Máster en Gestión y Restauración de Ecosistemas,Universidad de Alcalá (UAH),8.200,80,Master,Alcalá de Henares,Formación avanzada en la gestión y restauración de ecosistemas combinando teoría y práctica.,1 año
Grado en Ciencias Biomédicas,Universitat Autònoma de Barcelona (UAB),12.514,85,Carrera Universitaria,Barcelona,Formación en biomedicina con énfasis en la investigación y el desarrollo de terapias avanzadas.,4 años
Grado en Ciencias Biomédicas,Universitat de Barcelona (UB),12.289,80,Carrera Universitaria,Barcelona,Programa que combina biología y medicina preparando a los estudiantes para la investigación biomédica.,4 años
Grado en Ciencias Biomédicas,Universidad de Cantabria (UC),12.115,75,Carrera Universitaria,Santander,Enfoque en la investigación biomédica y el desarrollo de nuevas terapias.,4 años
Grado en Ciencias Biomédicas,Universitat de Lleida (UdL),10.095,70,Carrera Universitaria,Lleida,Formación en ciencias biomédicas con énfasis en la investigación y la innovación.,4 años
Grado en Biomedicina,Universidad San Jorge (USJ),0,80,Carrera Universitaria,Zaragoza,Programa orientado a la formación de profesionales en biomedicina con énfasis en la investigación y el desarrollo de terapias.,4 años
Máster en Biomedicina,Universidad de Barcelona (UB),8.500,90,Master,Barcelona,Programa de investigación avanzada en biomedicina con énfasis en la investigación traslacional.,1 año
Máster en Biomedicina Molecular,Universidad Autónoma de Madrid (UAM),8.200,85,Master,Madrid,Formación en biomedicina molecular centrada en la investigación y el desarrollo de nuevas terapias.,1 año
Máster en Biotecnología Biomédica,Universidad Politécnica de Valencia (UPV),8.000,80,Master,Valencia,Enfoque en la aplicación de la biotecnología en el ámbito biomédico.,1 año
Grado en Ciencias Criminológicas y de la Seguridad,Universidad CEU San Pablo,7.500,80,Carrera Universitaria,Madrid,Formación en criminología y seguridad con enfoque en la prevención y resolución de delitos.,4 años
Grado en Criminología y Ciencias de la Seguridad,Universidad VIU,7.200,75,Carrera Universitaria,Online,Programa que ofrece tres habilitaciones: Director de Seguridad Jefe de Seguridad y Detective Privado.,4 años
Grado en Criminología y Seguridad,Universidad Camilo José Cela,7.800,85,Carrera Universitaria,Madrid,Enfoque integral en criminología y seguridad con formación práctica y teórica.,4 años
Grado en Criminología y Seguridad,Universitat Abat Oliba CEU,7.600,80,Carrera Universitaria,Barcelona,Programa que incluye titulaciones superiores en Investigación Privada y Seguridad Privada.,4 años
Máster en Criminología y Criminalística,Universidad de Barcelona,8.000,85,Master,Barcelona,Programa orientado a la formación de expertos en criminología y técnicas de investigación criminal.,1 año
Máster en Seguridad y Defensa,Universidad de Granada,8.500,90,Master,Granada,Enfoque en la gestión de la seguridad y la defensa con perspectiva nacional e internacional.,1 año
Máster en Psicología Forense,Universidad Autónoma de Madrid,8.200,80,Master,Madrid,Formación en la aplicación de la psicología en el ámbito legal y judicial.,1 año
name,university,cutOffMark,popularity,type,location,description,duration
Grado en Ciencias Culinarias y Gastronómicas,Universitat de Barcelona,7.500,80,Carrera Universitaria,Barcelona,Formación integral en gastronomía combinando ciencia como tecnología y gestión.,4 años
Grado en Ciencias Gastronómicas,Universitat de València,7.200,75,Carrera Universitaria,València,Programa que aborda la gastronomía desde una perspectiva científica y cultural.,4 años
Grado en Gastronomía y Artes Culinarias,Basque Culinary Center,7.800,85,Carrera Universitaria,San Sebastián,Enfoque en la alta cocina y la innovación gastronómica.,4 años
Grado en Ciencias Gastronómicas y Gestión Hotelera,Universidad de Málaga,7.600,80,Carrera Universitaria,Málaga,Formación en gastronomía y gestión hotelera con énfasis en la sostenibilidad.,4 años
Máster en Innovación Culinaria y Gestión Gastronómica,Universitat de Barcelona,8.000,85,Master,Barcelona,Programa orientado a la innovación y gestión en el sector gastronómico.,1 año
Máster en Dirección de Restauración,Universidad de Barcelona,8.500,90,Master,Barcelona,Enfoque en la gestión y dirección de establecimientos de restauración.,1 año
Máster en Ciencias Gastronómicas,Universitat de Barcelona,8.200,80,Master,Barcelona,Formación avanzada en ciencias gastronómicas combinando teoría y práctica.,1 año
Grado en Ciencia de Datos,Universitat de València,7.500,80,Carrera Universitaria,Valencia,Formación multidisciplinaria que capacita para adquirir procesar y extraer conocimiento de grandes volúmenes de datos.,4 años
Grado en Ciencia e Ingeniería de Datos,Universidad Autónoma de Madrid (UAM),7.800,85,Carrera Universitaria,Madrid,Enfoque en la extracción y elaboración de conocimiento a partir de datos combinando informática y matemáticas.,4 años
Grado en Ciencia de Datos,Universidad Europea de Valencia,7.600,80,Carrera Universitaria,Valencia,Formación en análisis de datos y toma de decisiones con énfasis en aplicaciones prácticas.,4 años
Grado en Ciencia de los Datos Aplicada,Universidad Complutense de Madrid (UCM),7.500,80,Carrera Universitaria,Madrid,Orientado a la formación de científicos de datos con enfoque en técnicas y herramientas para el análisis de datos.,4 años
Grado en Ciencia e Ingeniería de Datos,Universidad Carlos III de Madrid (UC3M),7.800,85,Carrera Universitaria,Madrid,Formación en análisis de datos para la toma de decisiones inteligentes combinando teoría y práctica.,4 años
Máster en Ciencia de Datos,Universitat de València,8.000,85,Máster,Valencia,Formación avanzada en ciencia de datos preparando para trabajar en diversas áreas del conocimiento.,1 año
Máster en Ciencia de Datos,Universidad Autónoma de Barcelona (UAB),8.500,90,Máster,Barcelona,Programa interuniversitario de un año de duración impartido en inglés con enfoque en metodología de ciencia de datos.,1 año
Máster en Ciencia de Datos,Universidad Politécnica de Madrid (UPM),8.200,80,Máster,Madrid,Formación en ciencia de datos con sólida base matemática y estadística orientada a la práctica profesional.,1 año
Máster en Ciencia de Datos,Universidad de Alicante,8.000,85,Máster,Alicante,Programa multidisciplinar que prepara para trabajar en diferentes áreas del conocimiento desde la farmacéutica hasta la de videojuegos.,1 año
Máster en Ciencia de Datos,Universidad Oberta de Catalunya (UOC),8.500,90,Máster,Online,Formación online en ciencia de datos permitiendo adquirir perfiles de científico de datos analista de datos o analista de big data.,1 año
Grado en Ciencias de la Actividad Física y del Deporte,Universidad de Sevilla,7.500,80,Carrera Universitaria,Sevilla,Formación integral en ciencias de la actividad física y del deporte combinando teoría y práctica.,4 años
Grado en Ciencias de la Actividad Física y del Deporte,Universidad Autónoma de Madrid (UAM),7.800,85,Carrera Universitaria,Madrid,Preparación para el ejercicio profesional en educación física y entrenamiento deportivo ocio y salud gestión deportiva y actividad física con poblaciones diversas.,4 años
Grado en Ciencias de la Actividad Física y del Deporte,Universidad de Málaga,7.600,80,Carrera Universitaria,Málaga,Formación orientada a la enseñanza rendimiento y gestión y salud en el ámbito de la actividad física y el deporte.,4 años
Grado en Ciencias de la Actividad Física y del Deporte,Universidad Politécnica de Madrid (UPM),7.800,85,Carrera Universitaria,Madrid,Enfoque en la formación de profesionales capaces de planificar dirigir y evaluar programas de actividad física y deporte.,4 años
Grado en Ciencias de la Actividad Física y del Deporte,Universidad de Valencia,7.500,80,Carrera Universitaria,Valencia,Formación en áreas como fisiología del ejercicio biomecánica psicología deportiva y gestión deportiva.,4 años
Máster en Ciencias de la Actividad Física y del Deporte,Universidad Autónoma de Madrid (UAM),8.000,85,Máster,Madrid,Formación avanzada en ciencias de la actividad física y del deporte dirigida a graduados y licenciados en áreas relacionadas.,1 año
Máster en Ciencias de la Actividad Física y del Deporte,Universidad del País Vasco (UPV/EHU),8.500,90,Máster,Bilbao,Único máster universitario oficial en actividad física y deporte en el País Vasco con enfoque en investigación y aplicación práctica.,1 año
Máster en Ciencias de la Actividad Física y del Deporte,Universidad Politécnica de Madrid (UPM),8.200,80,Máster,Madrid,Programa orientado a la formación de expertos en el ámbito de la actividad física y el deporte con énfasis en investigación y gestión.,1 año
Máster en Ciencias de la Actividad Física y del Deporte,Universidad de Murcia,8.000,85,Máster,Murcia,Formación en investigación en ciencias de la actividad física y del deporte dirigida a profesionales interesados en profundizar en el área.,1 año
Máster en Ciencias de la Actividad Física y del Deporte,Universidad de Barcelona,8.500,90,Máster,Barcelona,Programa multidisciplinario que aborda aspectos científicos educativos y de gestión en el ámbito de la actividad física y el deporte.,1 año
name,university,cutOffMark,popularity,type,location,description,duration
Grado en Ciencias de la Antigüedad,Universidad de Barcelona,7.200,75,Carrera Universitaria,Barcelona,Estudio integral de las culturas clásicas y antiguas abarcando desde la arqueología hasta la historia filosofía y lenguas.,4 años
Grado en Ciencias de la Antigüedad,Universidad Autónoma de Madrid (UAM),7.500,80,Carrera Universitaria,Madrid,Formación en los saberes de las civilizaciones antiguas con especial atención a su impacto cultural histórico y lingüístico.,4 años
Grado en Ciencias de la Antigüedad,Universidad de Salamanca,7.300,75,Carrera Universitaria,Salamanca,Especialización en el estudio de la historia literatura y lenguas de la antigüedad con enfoque en la arqueología y las humanidades.,4 años
Máster en Ciencias de la Antigüedad,Universidad de Barcelona,8.200,85,Máster,Barcelona,Programa avanzado para profundizar en la historia arte y culturas antiguas con un enfoque en la investigación histórica y arqueológica.,1-2 años
Máster en Ciencias de la Antigüedad,Universidad Autónoma de Madrid (UAM),8.400,85,Máster,Madrid,Formación especializada para graduados en humanidades que desean profundizar en el estudio de las civilizaciones clásicas y antiguas.,1-2 años
Grado en Ciencias de la Seguridad,Universidad de Castilla-La Mancha,6.800,70,Carrera Universitaria,Toledo,Grado en criminología policía y seguridad con formación integral en prevención y gestión de la seguridad pública y privada.,4 años
Grado en Ciencias de la Seguridad,Universidad de Valencia,7.100,75,Carrera Universitaria,Valencia,Programa enfocado en la gestión de la seguridad criminología y prevención del delito en distintos contextos sociales y urbanos.,4 años
Grado en Ciencias de la Seguridad,Universidad de Barcelona,7.200,75,Carrera Universitaria,Barcelona,Enfoque interdisciplinario en seguridad criminología legislación y gestión de la seguridad pública y privada.,4 años
Máster en Ciencias de la Seguridad,Universidad de Barcelona,8.300,85,Máster,Barcelona,Especialización en áreas como criminología seguridad pública gestión de riesgos y delitos informáticos.,1-2 años
Máster en Ciencias de la Seguridad,Universidad Politécnica de Valencia,8.000,80,Máster,Valencia,Formación avanzada en la gestión y prevención de riesgos y delitos en el ámbito de la seguridad pública y privada.,1-2 años
Grado en Ciencias de las Religiones,Universidad Autónoma de Madrid (UAM),6.900,70,Carrera Universitaria,Madrid,Estudio de las religiones creencias y fenómenos espirituales desde una perspectiva histórica filosófica y antropológica.,4 años
Grado en Ciencias de las Religiones,Universidad de Barcelona,7.000,70,Carrera Universitaria,Barcelona,Programa orientado al análisis de las religiones y sus contextos históricos sociales y culturales con enfoque académico y científico.,4 años
Grado en Ciencias de las Religiones,Universidad de Salamanca,7.100,72,Carrera Universitaria,Salamanca,Estudio de la diversidad religiosa y su influencia en la cultura y la sociedad con énfasis en los estudios comparados.,4 años
Máster en Ciencias de las Religiones,Universidad de Barcelona,8.400,85,Máster,Barcelona,Formación avanzada sobre las religiones del mundo su evolución histórica y el estudio comparativo de las creencias espirituales.,1-2 años
Máster en Ciencias de las Religiones,Universidad Autónoma de Madrid (UAM),8.200,80,Máster,Madrid,Programa académico orientado al estudio profundo de las religiones del mundo en sus contextos culturales históricos y filosóficos.,1-2 años
Grado en Ciencias del Mar,Universidad de Barcelona,7.200,80,Carrera Universitaria,Barcelona,Estudio sobre los océanos costas y recursos marinos con enfoque en investigación y gestión de la biodiversidad marina.,4 años
Grado en Ciencias del Mar,Universidad de Cádiz,7.000,75,Carrera Universitaria,Cádiz,Formación en ciencias naturales y ambientales con énfasis en la conservación marina oceanografía y recursos pesqueros.,4 años
Grado en Ciencias del Mar,Universidad de Vigo,7.100,80,Carrera Universitaria,Vigo,Estudios sobre ecología marina y biología costera oceanografía y gestión sostenible de los recursos marinos.,4 años
Máster en Ciencias del Mar,Universidad de Barcelona,8.200,85,Máster,Barcelona,Formación avanzada sobre la ciencia del mar exploración y protección de ecosistemas marinos y costeños.,1-2 años
Máster en Ciencias del Mar,Universidad de Cádiz,8.100,80,Máster,Cádiz,Programa especializado en la investigación de la biodiversidad marina y la gestión del medio marino.,1-2 años
Grado en Ciencias del Trabajo  Relaciones Laborales y Recursos Humanos,Universidad de Valencia,7.300,85,Carrera Universitaria,Valencia,Enfoque multidisciplinario sobre el derecho laboral gestión de recursos humanos y políticas laborales.,4 años
Grado en Ciencias del Trabajo Relaciones Laborales y Recursos Humanos,Universidad de Barcelona,7.500,80,Carrera Universitaria,Barcelona,Formación en las ciencias sociales aplicadas al análisis de las relaciones laborales y la gestión del trabajo.,4 años
Grado en Ciencias del Trabajo Relaciones Laborales y Recursos Humanos,Universidad Autónoma de Madrid (UAM),7.400,80,Carrera Universitaria,Madrid,Estudios de relaciones laborales gestión de recursos humanos y derecho del trabajo con enfoque en gestión organizacional.,4 años
Máster en Ciencias del Trabajo Relaciones Laborales y Recursos Humanos,Universidad de Barcelona,8.200,85,Máster,Barcelona,Formación avanzada en la gestión de recursos humanos negociación colectiva derecho laboral y políticas laborales.,1-2 años
Máster en Ciencias del Trabajo Relaciones Laborales y Recursos Humanos,Universidad Autónoma de Madrid (UAM),8.000,80,Máster,Madrid,Programa de postgrado orientado a la gestión avanzada de recursos humanos y la resolución de conflictos laborales.,1-2 años
Grado en Ciencias del Transporte y la Logística,Universidad Politécnica de Valencia,7.700,85,Carrera Universitaria,Valencia,Formación en la gestión del transporte logística y cadena de suministro con enfoque práctico y estratégico.,4 años
Grado en Ciencias del Transporte y la Logística,Universidad de Zaragoza,7.600,80,Carrera Universitaria,Zaragoza,Enfoque en la optimización del transporte y la logística gestionando la distribución de mercancías y la planificación de rutas.,4 años
Grado en Ciencias del Transporte y la Logística,Universidad de Barcelona,7.500,80,Carrera Universitaria,Barcelona,Estudios en gestión de la cadena de suministro transporte terrestre marítimo y aéreo y sostenibilidad logística.,4 años
Máster en Ciencias del Transporte y la Logística,Universidad Politécnica de Madrid (UPM),8.300,90,Máster,Madrid,Programa especializado en la gestión del transporte la logística internacional y la optimización de recursos en el sector.,1-2 años
Máster en Ciencias del Transporte y la Logística,Universidad de Zaragoza,8.100,85,Máster,Zaragoza,Formación avanzada en transporte planificación de rutas gestión de mercancías y soluciones logísticas para empresas globales.,1-2 años
name,university,cutOffMark,popularity,type,location,description,duration
Grado en Ciencias e Ingeniería de Datos,Universidad Politécnica de Valencia,7.500,85,Carrera Universitaria,Valencia,Formación en análisis de datos inteligencia artificial y programación enfocada en el uso de datos para la toma de decisiones estratégicas en diversas industrias.,4 años
Grado en Ciencias e Ingeniería de Datos,Universidad de Barcelona,7.600,80,Carrera Universitaria,Barcelona,Enfoque integral sobre los procesos de análisis de datos con herramientas de programación Big Data y análisis predictivo.,4 años
Grado en Ciencias e Ingeniería de Datos,Universidad Autónoma de Madrid,7.700,80,Carrera Universitaria,Madrid,Estudios avanzados en la recolección almacenamiento y procesamiento de datos masivos con aplicaciones en inteligencia artificial.,4 años
Máster en Ciencias e Ingeniería de Datos,Universidad Politécnica de Madrid (UPM),8.200,90,Máster,Madrid,Formación especializada en la ingeniería y ciencia de datos incluyendo Machine Learning Big Data y análisis avanzado de datos.,1-2 años
Máster en Ciencias e Ingeniería de Datos,Universidad de Barcelona,8.000,85,Máster,Barcelona,Programa de postgrado orientado al manejo y análisis de grandes volúmenes de datos aplicados a diversas industrias tecnológicas.,1-2 años
Grado en Ciencias Empresariales,Universidad de Valencia,7.300,85,Carrera Universitaria,Valencia,Formación enfocada en los aspectos fundamentales de la economía gestión empresarial finanzas y marketing.,4 años
Grado en Ciencias Empresariales,Universidad de Barcelona,7.500,80,Carrera Universitaria,Barcelona,Estudios sobre administración de empresas finanzas y contabilidad con énfasis en la sostenibilidad empresarial y la innovación.,4 años
Grado en Ciencias Empresariales,Universidad Autónoma de Madrid (UAM),7.600,80,Carrera Universitaria,Madrid,Enfoque práctico en la gestión de organizaciones finanzas corporativas marketing y derecho empresarial.,4 años
Máster en Ciencias Empresariales,Universidad de Valencia,8.100,85,Máster,Valencia,Programa avanzado en la gestión empresarial liderazgo y toma de decisiones estratégicas en el entorno global.,1-2 años
Máster en Ciencias Empresariales,Universidad de Barcelona,8.200,85,Máster,Barcelona,Formación avanzada en administración marketing digital innovación empresarial y modelos de negocio sostenibles.,1-2 años
Grado en Ciencias Empresariales - Management,Universidad Politécnica de Valencia,7.400,80,Carrera Universitaria,Valencia,Enfoque en la gestión de empresas con énfasis en la planificación estratégica liderazgo y la toma de decisiones organizativas.,4 años
Grado en Ciencias Empresariales - Management,Universidad de Barcelona,7.500,80,Carrera Universitaria,Barcelona,Formación integral en dirección de empresas incluyendo habilidades de liderazgo finanzas y marketing con énfasis en la innovación y competitividad.,4 años
Grado en Ciencias Empresariales - Management,Universidad Autónoma de Madrid (UAM),7.400,75,Carrera Universitaria,Madrid,Estudios de gestión empresarial aplicados a sectores como la banca el marketing y la administración pública.,4 años
Máster en Ciencias Empresariales - Management,Universidad Politécnica de Madrid (UPM),8.100,85,Máster,Madrid,Programa especializado en la gestión de empresas y la dirección de equipos con enfoque en la innovación y la toma de decisiones estratégicas.,1-2 años
Máster en Ciencias Empresariales - Management,Universidad de Valencia,8.200,90,Máster,Valencia,Formación avanzada en gestión empresarial finanzas internacionales y estrategia corporativa para líderes en el sector empresarial.,1-2 años
Grado en Ciencias Experimentales,Universidad de Granada,7.400,85,Carrera Universitaria,Granada,Enfoque multidisciplinar que abarca las áreas de física química biología y matemáticas preparando a los estudiantes para la investigación científica y tecnológica.,4 años
Grado en Ciencias Experimentales,Universidad Autónoma de Barcelona,7.500,80,Carrera Universitaria,Barcelona,Formación en diversas disciplinas científicas como la biología la física y las matemáticas con un enfoque práctico y experimental.,4 años
Grado en Ciencias Experimentales,Universidad de Valencia,7.300,75,Carrera Universitaria,Valencia,Programa de grado que prepara a los estudiantes en el análisis y la investigación científica con énfasis en experimentación en laboratorios.,4 años
Máster en Ciencias Experimentales,Universidad de Granada,8.100,90,Máster,Granada,Formación avanzada en investigación científica en diversas ramas de las ciencias experimentales como biología molecular física y química.,1-2 años
Máster en Ciencias Experimentales,Universidad Autónoma de Barcelona,8.200,85,Máster,Barcelona,Programa de postgrado que profundiza en las ciencias experimentales y su aplicación en la investigación aplicada y el desarrollo tecnológico.,1-2 años
Grado en Ciencias Gastronómicas,Universidad de Girona,7.200,80,Carrera Universitaria,Girona,Formación en el ámbito de la gastronomía y la ciencia de los alimentos con un enfoque en la innovación culinaria y la sostenibilidad.,4 años
Grado en Ciencias Gastronómicas,Universidad de Barcelona,7.400,75,Carrera Universitaria,Barcelona,Estudios enfocados en la ciencia detrás de la gastronomía que incluyen la gestión de alimentos nutrición y tecnología alimentaria.,4 años
Grado en Ciencias Gastronómicas,Universidad de Alicante,7.500,70,Carrera Universitaria,Alicante,Programa que abarca técnicas culinarias investigación de alimentos y su aplicación en la industria gastronómica.,4 años
Máster en Ciencias Gastronómicas,Universidad de Barcelona,8.200,90,Máster,Barcelona,Formación avanzada en gastronomía experimental ciencia de los alimentos y gestión de la industria alimentaria.,1-2 años
Grado en Ciencias Gastronómicas y Gestión Hotelera,Universidad de Barcelona,7.600,85,Carrera Universitaria,Barcelona,Estudios que combinan la ciencia gastronómica con la gestión de empresas hoteleras preparándote para liderar en la industria de la restauración y hotelería.,4 años
Grado en Ciencias Gastronómicas y Gestión Hotelera,Universidad de Girona,7.400,80,Carrera Universitaria,Girona,Formación integral en gastronomía y gestión de establecimientos hoteleros con un enfoque en la innovación y la gestión sostenible.,4 años
Grado en Ciencias Gastronómicas y Gestión Hotelera,Universidad Politécnica de Valencia,7.500,75,Carrera Universitaria,Valencia,Enfoque práctico en la gestión de restaurantes y servicios hoteleros con énfasis en la investigación culinaria y la gestión empresarial.,4 años
Máster en Ciencias Gastronómicas y Gestión Hotelera,Universidad de Barcelona,8.300,85,Máster,Barcelona,Formación avanzada en la gestión de servicios gastronómicos y hoteleros incluyendo la innovación sostenibilidad y liderazgo.,1-2 años
name,university,cutOffMark,popularity,type,location,description,duration
Grado en Ciencias Inmobiliarias,Universidad Politécnica de Madrid,6.500,80,Carrera Universitaria,Madrid,Formación en la gestión y administración del sector inmobiliario abarcando aspectos legales financieros y técnicos.,4 años
Grado en Ciencias Inmobiliarias,Universidad de Barcelona,6.700,75,Carrera Universitaria,Barcelona,Estudios orientados a la gestión inmobiliaria y urbanística con enfoque en las normativas legales y gestión de propiedades.,4 años
Grado en Ciencias Inmobiliarias,Universidad CEU San Pablo,6.800,70,Carrera Universitaria,Madrid,Enfoque multidisciplinar que cubre la administración de bienes inmuebles con una visión técnica y legal.,4 años
Máster en Ciencias Inmobiliarias,Universidad Politécnica de Madrid,7.800,85,Máster,Madrid,Programa de postgrado que profundiza en la gestión avanzada de bienes inmuebles tanto en el ámbito nacional como internacional.,1-2 años
