name,university,cutOffMark,popularity,type,location,description,duration
Grado en Biomedicina Básica y Experimental,Universidad Autónoma de Madrid,12.500,70,Carrera Universitaria,Madrid,Estudio de la biomedicina con énfasis en genética bioquímica y biología celular,4 años
Grado en Biomedicina Básica y Experimental,Universidad de Barcelona,12.300,85,Carrera Universitaria,Barcelona,Programa multidisciplinar en biomedicina con énfasis en la investigación biomédica,4 años
Grado en Biomedicina Básica y Experimental,Universidad de Cantabria,12.100,65,Carrera Universitaria,Cantabria,Combina los estudios de biología básica con un enfoque en las ciencias de la salud,4 años
Grado en Biomedicina Básica y Experimental,Universidad de Lleida,11.800,60,Carrera Universitaria,Lleida,Formación orientada a la investigación básica en biomedicina,4 años
Grado en Biomedicina Básica y Experimental,Universidad Alfonso X el Sabio,12.200,50,Carrera Universitaria,Madrid,Desarrolla habilidades en el ámbito de la investigación biomédica,4 años
Grado en Biomedicina Básica y Experimental,Universitat Internacional de Catalunya (UIC),12.600,55,Carrera Universitaria,Barcelona,Grado centrado en biomedicina con enfoque experimental y de investigación,4 años
Grado en Biomedicina Básica y Experimental,Universidad San Jorge,11.900,45,Carrera Universitaria,Zaragoza,Formación enfocada a la investigación biomédica y la salud,4 años
Grado en Biomedicina y Terapias Avanzadas,Universidad de Valladolid,13.174,80,Carrera Universitaria,Valladolid,Programa que combina estudios de biomedicina con terapias avanzadas formando profesionales en el ámbito de la salud,4 años
Grado en Bioquímica,Universidad Complutense de Madrid,13.160,90,Carrera Universitaria,Madrid,Programa que combina estudios de química y bioquímica formando profesionales en el ámbito de la investigación científica.,4 años
Grado en Bioquímica,Universidad Autónoma de Madrid,12.550,85,Carrera Universitaria,Madrid,Enfoque en la investigación y desarrollo de nuevas terapias y tecnologías en el ámbito de la salud.,4 años
Grado en Bioquímica,Universidad de Sevilla,12.380,80,Carrera Universitaria,Sevilla,Formación integral en bioquímica con énfasis en investigación básica y aplicada.,4 años
Grado en Bioquímica,Universidad de Barcelona,11.794,75,Carrera Universitaria,Barcelona,Programa multidisciplinar en bioquímica con énfasis en la investigación biomédica,4 años
Grado en Bioquímica,Universidad de Granada,11.712,70,Carrera Universitaria,Granada,Combina los estudios de biología y química con un enfoque en las ciencias de la salud.,4 años
Grado en Bioquímica,Universidad de Málaga,11.680,65,Carrera Universitaria,Málaga,Formación orientada a la investigación básica en bioquímica.,4 años
Grado en Bioquímica,Universidad de Castilla-La Mancha,11.638,60,Carrera Universitaria,Toledo,Desarrolla habilidades en el ámbito de la investigación científica y la salud.,4 años
Grado en Bioquímica,Universidad Autónoma de Barcelona,11.362,55,Carrera Universitaria,Barcelona,Programa centrado en bioquímica con enfoque experimental y de investigación.,4 años
Grado en Bioquímica,Universidad de Santiago de Compostela,10.962,50,Carrera Universitaria,Lugo,Formación enfocada a la investigación biomédica y la salud.,4 años
Grado en Bioquímica,Universidad de Córdoba,10.883,45,Carrera Universitaria,Córdoba,Combina conocimientos de biología y química para formar profesionales en el ámbito de la salud.,4 años
Grado en Bioquímica,Universidad de Murcia,10.524,40,Carrera Universitaria,Murcia,Enfoque en la investigación y desarrollo de nuevas terapias y tecnologías en el ámbito de la salud.,4 años
Grado en Bioquímica y Biología Molecular,Universidad del País Vasco (UPV/EHU),12.985,80,Carrera Universitaria,Vitoria-Gasteiz,Programa que combina estudios de bioquímica y biología molecular formando profesionales en el ámbito de la investigación científica.,4 años
Grado en Bioquímica y Biología Molecular,Universidad Complutense de Madrid,12.730,85,Carrera Universitaria,Madrid,Enfoque en la investigación y desarrollo de nuevas terapias y tecnologías en el ámbito de la salud,4 años
Grado en Bioquímica y Biología Molecular,Universitat Rovira i Virgili (URV),10.980,90,Carrera Universitaria,Tarragona,Formación integral en bioquímica y biología molecular con énfasis en investigación básica y aplicada,4 años
Grado en Biotecnología,Universidad Politécnica de Madrid,13.023,90,Carrera Universitaria,Madrid,Programa que combina estudios de biología química y tecnología formando profesionales en el ámbito de la investigación y desarrollo de nuevos productos y procesos,4 años
Grado en Biotecnología,Universidad de Barcelona,11.812,85,Carrera Universitaria,Barcelona,Enfoque en la investigación y desarrollo de nuevos productos y procesos en sectores como la salud la agricultura y la industria.,4 años
Grado en Biotecnología,Universidad de Valencia,12.302,80,Carrera Universitaria,Valencia,Formación integral en biotecnología con énfasis en investigación básica y aplicada.,4 años
Grado en Biotecnología,Universidad de Granada,12.485,75,Carrera Universitaria,Granada,Programa multidisciplinar en biotecnología con énfasis en la investigación biomédica.,4 años
Grado en Biotecnología,Universidad Autónoma de Barcelona,11.264,70,Carrera Universitaria,Barcelona,Combina los estudios de biología química y tecnología con un enfoque en las ciencias de la salud.,4 años
Grado en Biotecnología,Universidad de Cádiz,10.983,65,Carrera Universitaria,Cádiz,Formación orientada a la investigación básica en biotecnología,4 años
Grado en Biotecnología,Universidad de Córdoba,10.974,60,Carrera Universitaria,Córdoba,Desarrolla habilidades en el ámbito de la investigación científica y la salud.,4 años
Grado en Biotecnología,Universidad de Extremadura,11.006,55,Carrera Universitaria,Badajoz,Programa centrado en biotecnología con enfoque experimental y de investigación.,4 años
Grado en Biotecnología,Universidad de Oviedo,11.930,50,Carrera Universitaria,Oviedo,Formación enfocada a la investigación biomédica y la salud.,4 años
Grado en Biotecnología,Universidad de Murcia,11.911,45,Carrera Universitaria,Murcia,Combina conocimientos de biología química y tecnología para formar profesionales en el ámbito de la salud.,4 años
Grado en Business Analytics,Universitat Politècnica de València,12.276,80,Carrera Universitaria,València,Programa que combina estudios de análisis de datos y gestión empresarial formando profesionales en la toma de decisiones basadas en datos.,4 años
Grado en Business Intelligence & Data Analytics,Universitat Ramon Llull,5.000,70,Carrera Universitaria,Barcelona,Enfoque en la inteligencia empresarial y el análisis de datos para la toma de decisiones estratégicas.,4 años
Grado en Datos y Analítica de Negocio,ESIC Business & Marketing School,5.000,75,Carrera Universitaria,Madrid,Formación integral en análisis de datos y gestión empresarial con énfasis en el marketing digital.,4 años
Grado en Datos y Analítica de Negocio,Universidad Loyola,5.000,80,Carrera Universitaria,Sevilla,Programa multidisciplinar en análisis de datos y gestión empresarial con énfasis en la innovación y la sostenibilidad.,4 años
Grado en Datos y Analítica de Negocio,IE University,5.000,85,Carrera Universitaria,Segovia,Formación orientada a la investigación y desarrollo de nuevas soluciones empresariales basadas en datos.,4 años
Grado en Ingeniería de la Ciberseguridad,Universidad Rey Juan Carlos (URJC),10.853,80,Carrera Universitaria,Madrid,Programa que combina estudios de ingeniería y ciberseguridad formando profesionales en la protección de sistemas informáticos.,4 años
Grado en Ciberseguridad,Universitat de Barcelona (UB),5.298,75,Carrera Universitaria,Barcelona,Enfoque en la protección de sistemas y redes contra amenazas cibernéticas.,4 años
Grado en Ingeniería de la Ciberseguridad,Universidad San Jorge (USJ),5.000,70,Carrera Universitaria,Zaragoza,Formación integral en ingeniería y ciberseguridad con énfasis en la protección de datos.,4 años
Grado en Ciberseguridad e Inteligencia Artificial,Universidad de Málaga,12.200,90,Carrera Universitaria,Málaga,Programa que integra estudios de ciberseguridad y técnicas de inteligencia artificial formando profesionales en la protección de sistemas y el desarrollo de soluciones inteligentes.,4 años
Grado en Ciencia e Ingeniería de Datos,Universidad Autónoma de Madrid (UAM),12.500,85,Carrera Universitaria,Madrid,Programa que combina estudios de matemáticas estadística e informática formando profesionales en el análisis de datos, 4 años
Grado en Ciencia de Datos,Universitat de València,11.800,80,Carrera Universitaria,Valencia,Enfoque en la formación de científicos de datos con una sólida base en matemáticas y programación.,4 años
Grado en Ciencia de Datos e Inteligencia Artificial,Universidad Politécnica de Madrid (UPM),13.000,90,Carrera Universitaria,Madrid,Programa que integra estudios de ciencia de datos e inteligencia artificial formando profesionales versátiles.,4 años
Grado en Ciencia de Datos,Universidad Europea,12.200,75,Carrera Universitaria,Valencia,Formación integral en ciencia de datos con énfasis en aplicaciones prácticas y proyectos reales.,4 años
Grado en Ciencia de Datos e Inteligencia Artificial,Universidad Miguel Hernández de Elche (UMH),12.500,80,Carrera Universitaria,Elche,Programa que combina estudios de ciencia de datos e inteligencia artificial formando profesionales en el análisis de datos y desarrollo de soluciones inteligentes.,4 años
Máster en Ciencia de Datos,Universidad Complutense de Madrid (UCM),0,85,Master,Madrid,Programa que ofrece una formación completa en ciencia de datos desde la adquisición hasta el análisis y visualización de datos,1 año
Máster en Ciencia de Datos,Universitat de València,0,80,Master,Valencia,Enfoque multidisciplinar que prepara a los estudiantes para trabajar en diferentes áreas del conocimiento desde la farmacéutica hasta la de videojuegos.,1 año
Máster en Ciencia de Datos,Universitat Autònoma de Barcelona (UAB),0,88,Master,Barcelona,Programa interuniversitario que proporciona una formación sólida en técnicas de análisis de datos y su aplicación en diversos sectores.,1 año
Máster en Ciencia de Datos,Universitat Oberta de Catalunya (UOC),0,70,Master,Online,Formación online que permite adquirir los perfiles de científico de datos analista de datos o analista de big data.,1 año
Máster en Ciencia de Datos,Universidad Camilo José Cela,0,75,Master,Online,Programa que ofrece una formación personalizada en ciencia de datos adaptada a las necesidades y horarios de los estudiantes.,1 año
Grado en Ciencia de Datos,Universidad Europea,12.200,75,Carrera Universitaria,Valencia,Formación integral en ciencia de datos con énfasis en aplicaciones prácticas y proyectos reales.,4 años
Grado en Ciencia de Datos,Universidad de Valencia,11.800,80,Carrera Universitaria,Valencia,Enfoque en la formación de científicos de datos con una sólida base en matemáticas y programación.,4 años
Grado en Ciencia de Datos,Universidad Autónoma de Madrid,12.500,85,Carrera Universitaria,Madrid,Programa que combina estudios de matemáticas estadística e informática formando profesionales en el análisis de datos.,4 años
Grado en Ciencia de Datos,Universidad Politécnica de Cartagena,11.500,70,Carrera Universitaria,Cartagena,Formación en ciencia de datos con énfasis en ingeniería y tecnología.,4 años
Grado en Ciencia de Datos,Universidad de Murcia,12.000,80,Carrera Universitaria,Murcia,Programa que prepara a los estudiantes para trabajar en el análisis de datos en diversos sectores.,4 años
Máster en Ciencia de Datos,Universidad Complutense de Madrid,0,85,Master,Madrid,Programa que ofrece una formación completa en ciencia de datos desde la adquisición hasta el análisis y visualización de datos.,1 año
Máster en Ciencia de Datos,Universitat de València,0,80,Master,Valencia,Enfoque multidisciplinar que prepara a los estudiantes para trabajar en diferentes áreas del conocimiento desde la farmacéutica hasta la de videojuegos.,1 año
Máster en Ciencia de Datos,Universitat Autònoma de Barcelona,0,88,Master,Barcelona,Programa interuniversitario que proporciona una formación sólida en técnicas de análisis de datos y su aplicación en diversos sectores.,1 año
Máster en Ciencia de Datos,Universitat Oberta de Catalunya,0,70,Master,Online,Formación online que permite adquirir los perfiles de científico de datos analista de datos o analista de big data.,1 año
Máster en Ciencia de Datos,Universidad Camilo José Cela,0,75,Master,Online,Programa que ofrece una formación personalizada en ciencia de datos adaptada a las necesidades y horarios de los estudiantes.,1 año
Grado en Ciencia de Datos e Inteligencia Artificial,Universidad Politécnica de Madrid,12.100,80,Carrera Universitaria,Madrid,Formación en el análisis y la interpretación de datos con un enfoque práctico en el uso de inteligencia artificial para resolver problemas reales.,4 años
Grado en Ciencia de Datos e Inteligencia Artificial,Universitat Jaume I de Castellón,11.700,75,Carrera Universitaria,Castellón,Este grado ofrece una sólida formación en la gestión de grandes volúmenes de datos y en la aplicación de inteligencia artificial para su análisis.,4 años
Grado en Ciencia de los Datos Aplicada,Universidad Autónoma de Barcelona,11.950,85,Carrera Universitaria,Barcelona,Programa multidisciplinario que prepara a los estudiantes para desarrollar proyectos de datos en sectores como salud tecnología y marketing.,4 años
Grado en Ciencia de los Datos Aplicada,Universidad de Valencia,11.600,80,Carrera Universitaria,Valencia,Se enfoca en la capacitación de profesionales con conocimientos en programación estadística y ciencia de datos aplicados a diferentes áreas.,4 años
Grado en Ciencia e Ingeniería de Datos,Universidad Politécnica de Cataluña,12.200,90,Carrera Universitaria,Barcelona,Programa orientado a la ingeniería y ciencia de datos combinando métodos de ingeniería con técnicas de análisis avanzado para resolver problemas complejos.,4 años
Grado en Ciencia e Ingeniería de Datos,Universidad de Zaragoza,11.800,70,Carrera Universitaria,Zaragoza,Formación que abarca programación avanzada análisis de datos y el uso de herramientas tecnológicas para la gestión de grandes volúmenes de datos.,4 años
Grado en Ciencia Política y Administración Pública,Universidad de Salamanca,12.200,80,Carrera Universitaria,Salamanca,Formación integral en ciencia política y administración pública con énfasis en el análisis político y la gestión pública.,4 años
Grado en Ciencia Política y de la Administración,Universidad Nacional de Educación a Distancia (UNED),11.800,75,Carrera Universitaria,Online,Programa a distancia que ofrece una comprensión profunda de los sistemas políticos y administrativos adaptado a las necesidades de estudiantes a distancia.,4 años
Grado en Ciencia Política y Gestión Pública,Universidad Rey Juan Carlos,12.500,85,Carrera Universitaria,Madrid,Enfoque multidisciplinario que combina estudios políticos con gestión pública preparando a los estudiantes para roles en el sector público y privado.,4 años
Grado en Ciencia Política y Administración Pública,Universidad de Barcelona,12.300,80,Carrera Universitaria,Barcelona,Programa que proporciona una sólida formación en ciencia política y administración pública con oportunidades de prácticas profesionales.,4 años
Grado en Ciencia Política y Gestión Pública,Universidad Autónoma de Madrid,12.400,85,Carrera Universitaria,Madrid,Formación orientada a la gestión pública y el análisis político con énfasis en políticas públicas y administración.,4 años
Máster Universitario en Ciencia Política y Gestión Pública,Universidad Rey Juan Carlos,0,80,Master,Madrid,Programa que forma profesionales en dirección gestión y asesoría en entidades públicas y privadas con enfoque en políticas públicas.,1 año
Máster en Ciencia Política y Gestión Pública,Universidad de Salamanca,0,85,Master,Salamanca,Ofrece una formación avanzada en ciencia política y administración pública centrada en el estudio de instituciones y actores políticos.,1 año
Máster en Ciencia Política y Gestión Pública,Universidad Autónoma de Madrid,0,90,Master,Madrid,Enfoque en la formación de expertos en gestión pública y análisis político con énfasis en políticas públicas y administración.,1 año
Máster en Ciencia Política y Gestión Pública,Universidad de Barcelona,0,80,Master,Barcelona,Programa que proporciona una formación avanzada en ciencia política y administración pública con oportunidades de prácticas profesionales.,1 año
Máster en Ciencia Política y Gestión Pública,Universidad Nacional de Educación a Distancia (UNED),0,75,Master,Online,Formación a distancia que ofrece una comprensión profunda de los sistemas políticos y administrativos adaptada a las necesidades de estudiantes a distancia.,1 año
